ACC,ACC Ltd.
ABBOTINDIA,Abbott India Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
ADANITRANS,Adani Transmission Ltd.
ALKEM,Alkem Laboratories Ltd.
AMBUJACEM,Ambuja Cements Ltd.
ASIANPAINT,Asian Paints Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
DMART,Avenue Supermarts Ltd.
AXISBANK,Axis Bank Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BANDHANBNK,Bandhan Bank Ltd.
BANKBARODA,Bank of Baroda
BERGEPAINT,Berger Paints India Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BIOCON,Biocon Ltd.
BOSCHLTD,Bosch Ltd.
BRITANNIA,Britannia Industries Ltd.
CADILAHC,Cadila Healthcare Ltd.
CIPLA,Cipla Ltd.
COALINDIA,Coal India Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
CONCOR,Container Corporation of India Ltd.
DLF,DLF Ltd.
DABUR,Dabur India Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
EICHERMOT,Eicher Motors Ltd.
GAIL,GAIL (India) Ltd.
GICRE,General Insurance Corporation of India
GODREJCP,Godrej Consumer Products Ltd.
GRASIM,Grasim Industries Ltd.
HCLTECH,HCL Technologies Ltd.
HDFCAMC,HDFC Asset Management Company Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
HAVELLS,Havells India Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
HINDALCO,Hindalco Industries Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
HINDZINC,Hindustan Zinc Ltd.
HDFC,Housing Development Finance Corporation Ltd.
ICICIBANK,ICICI Bank Ltd.
ICICIGI,ICICI Lombard General Insurance Company Ltd.
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.
ITC,ITC Ltd.
IOC,Indian Oil Corporation Ltd.
IGL,Indraprastha Gas Ltd.
INDUSTOWER,Indus Towers Ltd.
INDUSINDBK,IndusInd Bank Ltd.
NAUKRI,Info Edge (India) Ltd.
INFY,Infosys Ltd.
INDIGO,InterGlobe Aviation Ltd.
JSWSTEEL,JSW Steel Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
LTI,Larsen & Toubro Infotech Ltd.
LT,Larsen & Toubro Ltd.
LUPIN,Lupin Ltd.
M&M,Mahindra & Mahindra Ltd.
MARICO,Marico Ltd.
MARUTI,Maruti Suzuki India Ltd.
MOTHERSUMI,Motherson Sumi Systems Ltd.
MUTHOOTFIN,Muthoot Finance Ltd.
NMDC,NMDC Ltd.
NTPC,NTPC Ltd.
NESTLEIND,Nestle India Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
OFSS,Oracle Financial Services Software Ltd.
PETRONET,Petronet LNG Ltd.
PIDILITIND,Pidilite Industries Ltd.
PEL,Piramal Enterprises Ltd.
PFC,Power Finance Corporation Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
PGHH,Procter & Gamble Hygiene & Health Care Ltd.
PNB,Punjab National Bank
RELIANCE,Reliance Industries Ltd.
SBICARD,SBI Cards and Payment Services Ltd.
SBILIFE,SBI Life Insurance Company Ltd.
SHREECEM,Shree Cement Ltd.
SIEMENS,Siemens Ltd.
SBIN,State Bank of India
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
TCS,Tata Consultancy Services Ltd.
TATACONSUM,Tata Consumer Products Ltd.
TATAMOTORS,Tata Motors Ltd.
TATASTEEL,Tata Steel Ltd.
TECHM,Tech Mahindra Ltd.
TITAN,Titan Company Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
UPL,UPL Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
UBL,United Breweries Ltd.
MCDOWELL-N,United Spirits Ltd.
WIPRO,Wipro Ltd.
